order_date,region,category,sub_category,product_name,sales,quantity,profit
2023-06-19,North,Office Supplies,Storage,Desk Organizer,6633.6,8,1958.11
2023-03-27,North,Office Supplies,Storage,Storage Box,975.94,7,161.44
2023-08-05,West,Office Supplies,Binders,Plastic Binder,2460.96,8,591.39
2023-03-25,East,Office Supplies,Binders,Plastic Binder,296.48,8,54.81
2023-02-11,North,Technology,Copiers,Office Copier,855.66,1,85.43
2023-05-10,South,Furniture,Chairs,Office Chair,4872.96,8,930.7
2024-01-13,North,Office Supplies,Storage,Desk Organizer,1659.57,3,482.82
2023-01-27,West,Technology,Accessories,USB Cable,2633.5,5,729.5
2023-03-19,North,Office Supplies,Storage,Storage Box,438.68,4,106.65
2024-03-14,North,Furniture,Chairs,Gaming Chair,484.08,6,102.57
2024-03-19,South,Office Supplies,Binders,3-Ring Binder,3475.86,6,893.91
2024-05-10,East,Office Supplies,Paper,Notebook Paper,3226.48,8,750.98
2023-10-13,West,Office Supplies,Paper,Printer Paper,1876.8,8,311.88
2023-11-29,East,Office Supplies,Paper,Notebook Paper,1347.12,3,186.85
2023-01-11,West,Office Supplies,Binders,Plastic Binder,381.36,4,87.72
2024-05-17,South,Furniture,Chairs,Gaming Chair,5742.24,8,420.7
2023-11-10,West,Office Supplies,Storage,Storage Box,2618.82,6,478.54
2023-12-27,North,Furniture,Bookcases,Metal Bookcase,2067.28,8,233.29
2023-05-03,East,Furniture,Chairs,Gaming Chair,565.68,3,132.74
2023-04-13,East,Furniture,Bookcases,Metal Bookcase,1122.8,4,157.44
2023-10-08,South,Technology,Copiers,Office Copier,877.38,1,165.25
2023-01-13,South,Furniture,Tables,Desk Table,2165.35,5,346.71
2023-04-27,North,Technology,Accessories,Mouse,745.24,2,51.06
2023-11-08,West,Technology,Phones,Wireless Phone,1789.3,2,142.45
2024-06-19,West,Furniture,Bookcases,Wood Bookcase,2915.15,7,468.41
2023-04-12,North,Office Supplies,Storage,Storage Box,2281.8,4,265.06
2023-03-18,West,Technology,Phones,iPhone Case,67.05,3,10.9
2023-10-23,South,Office Supplies,Paper,Printer Paper,3193.15,5,522.11
2024-03-11,East,Office Supplies,Storage,Storage Box,998.42,2,211.57
2023-06-19,East,Technology,Phones,iPhone Case,2718.2,5,696.02
2023-11-08,West,Office Supplies,Paper,Notebook Paper,5946.92,7,1041.41
2024-03-18,South,Office Supplies,Paper,Printer Paper,3307.62,6,186.77
2023-10-03,West,Furniture,Bookcases,Wood Bookcase,691.54,1,64.86
2024-05-18,East,Office Supplies,Paper,Notebook Paper,867.22,2,131.89
2023-12-04,West,Furniture,Chairs,Office Chair,4413.01,7,538.63
2023-04-01,West,Furniture,Chairs,Gaming Chair,1452.66,6,114.73
2024-02-28,West,Furniture,Chairs,Gaming Chair,185.07,1,25.99
2023-07-28,West,Furniture,Tables,Desk Table,2516.55,5,709.46
2023-01-30,North,Furniture,Tables,Desk Table,2578.44,4,329.23
2023-08-19,South,Furniture,Tables,Desk Table,852.14,2,67.63
2024-06-05,West,Office Supplies,Storage,Desk Organizer,1928.15,5,328.99
2023-05-29,South,Technology,Accessories,Keyboard,1314.18,7,262.63
2023-12-15,East,Technology,Accessories,Mouse,3710.4,5,447.88
2023-06-02,West,Furniture,Bookcases,Metal Bookcase,3951.6,8,538.53
2023-09-02,North,Office Supplies,Binders,3-Ring Binder,1578.71,7,385.03
2024-01-26,South,Office Supplies,Storage,Desk Organizer,6228.6,7,1545.31
2024-05-29,West,Office Supplies,Paper,Printer Paper,4712.04,6,1265.41
2023-01-16,South,Technology,Copiers,Mini Copier,1142.34,3,244.11
2023-12-13,West,Technology,Accessories,Mouse,4143.02,7,1089.37
2023-02-06,East,Office Supplies,Storage,Desk Organizer,453.2,2,100.2
2024-03-20,North,Technology,Copiers,Office Copier,1378.26,2,311.45
2023-01-30,East,Office Supplies,Paper,Notebook Paper,305.45,1,19.56
2023-09-08,South,Office Supplies,Binders,3-Ring Binder,3626.14,7,899.75
2024-01-27,South,Technology,Phones,Wireless Phone,1831.8,4,358.65
2024-04-15,West,Office Supplies,Storage,Desk Organizer,3034.1,5,833.55
2023-03-17,East,Office Supplies,Storage,Storage Box,6814.48,8,2023.31
2024-04-12,West,Furniture,Tables,Conference Table,976.55,5,142.75
2024-01-03,West,Technology,Phones,Android Phone,4467.85,5,553.15
2024-05-23,East,Office Supplies,Paper,Printer Paper,3513.25,5,377.78
2023-09-14,North,Technology,Copiers,Office Copier,1718.58,3,474.07
2024-01-09,West,Office Supplies,Binders,3-Ring Binder,297.96,3,36.88
2024-01-10,West,Technology,Phones,iPhone Case,3754.1,5,428.88
2023-04-28,South,Office Supplies,Storage,Desk Organizer,6938.8,8,591.11
2024-01-10,North,Furniture,Bookcases,Metal Bookcase,1431.6,2,76.56
2024-01-26,North,Office Supplies,Binders,Plastic Binder,692.04,6,75.06
2023-08-15,East,Furniture,Bookcases,Metal Bookcase,1158.32,2,192.36
2023-05-24,West,Furniture,Tables,Desk Table,852.71,1,107.52
2023-05-19,West,Technology,Phones,iPhone Case,2934.47,7,638.6
2024-02-29,East,Furniture,Bookcases,Wood Bookcase,1507.3,2,307.36
2023-08-11,East,Technology,Copiers,Mini Copier,3290.64,8,358.77
2024-01-03,North,Technology,Copiers,Mini Copier,370.36,1,36.09
2023-01-22,South,Office Supplies,Paper,Printer Paper,712.38,1,79.0
2023-08-01,South,Furniture,Chairs,Office Chair,2941.96,4,318.47
2023-05-29,North,Furniture,Chairs,Gaming Chair,1486.17,3,370.99
2023-01-16,East,Furniture,Chairs,Office Chair,4291.14,6,469.81
2023-02-23,North,Technology,Phones,Android Phone,2018.13,3,366.33
2024-06-09,North,Office Supplies,Binders,Plastic Binder,835.52,2,88.05
2024-04-14,West,Furniture,Bookcases,Metal Bookcase,73.53,1,12.48
2024-05-17,South,Office Supplies,Storage,Storage Box,677.36,8,47.55
2023-11-29,West,Technology,Phones,Android Phone,6266.89,7,1144.58
2023-04-12,South,Furniture,Bookcases,Metal Bookcase,1540.92,2,327.8
2024-02-28,North,Office Supplies,Binders,3-Ring Binder,4488.78,6,671.89
2023-09-19,West,Office Supplies,Binders,Plastic Binder,5154.96,6,1142.88
2023-04-06,South,Technology,Phones,iPhone Case,734.86,7,172.47
2023-05-06,West,Furniture,Chairs,Gaming Chair,2318.19,7,501.51
2023-11-16,South,Furniture,Chairs,Gaming Chair,667.02,6,117.96
2023-04-21,East,Furniture,Tables,Desk Table,4583.58,6,650.37
2023-01-27,East,Furniture,Chairs,Gaming Chair,227.4,5,26.91
2023-07-05,South,Office Supplies,Binders,3-Ring Binder,1555.08,3,233.57
2023-04-04,South,Furniture,Bookcases,Wood Bookcase,1404.2,4,229.46
2023-03-28,North,Office Supplies,Binders,Plastic Binder,156.91,1,37.44
2024-03-29,East,Furniture,Chairs,Gaming Chair,3131.66,7,502.67
2023-12-20,West,Technology,Copiers,Office Copier,823.06,7,180.71
2023-02-16,North,Furniture,Bookcases,Metal Bookcase,1471.32,4,294.02
2023-05-21,West,Technology,Accessories,USB Cable,1373.55,5,109.88
2023-05-13,East,Furniture,Tables,Desk Table,3420.69,7,367.82
2023-02-13,East,Technology,Accessories,Keyboard,255.43,7,71.59
2024-03-03,East,Furniture,Tables,Conference Table,606.75,5,33.5
2024-01-06,West,Technology,Copiers,Mini Copier,808.62,2,61.83
2024-02-10,South,Furniture,Tables,Desk Table,3381.55,5,356.39
2024-06-06,South,Technology,Copiers,Office Copier,3268.84,4,448.95
2023-09-20,North,Technology,Phones,iPhone Case,690.72,4,60.93
2024-04-20,East,Technology,Copiers,Mini Copier,4955.2,8,1340.44
2024-03-26,East,Furniture,Tables,Desk Table,865.3,2,179.85
2024-06-03,North,Furniture,Chairs,Gaming Chair,586.32,2,95.56
2023-04-03,North,Office Supplies,Binders,3-Ring Binder,2990.33,7,563.91
2023-11-26,West,Office Supplies,Storage,Storage Box,3689.6,8,1067.88
2023-03-28,West,Technology,Accessories,Keyboard,163.35,3,37.07
2024-01-08,East,Furniture,Bookcases,Wood Bookcase,4966.68,6,729.38
2023-12-09,West,Furniture,Bookcases,Wood Bookcase,620.26,2,117.53
2023-12-08,East,Office Supplies,Binders,3-Ring Binder,1065.62,2,90.96
2023-05-13,East,Office Supplies,Storage,Desk Organizer,584.86,2,84.32
2024-03-09,South,Technology,Copiers,Office Copier,216.24,6,27.51
2023-08-20,North,Office Supplies,Binders,3-Ring Binder,469.05,3,58.14
2023-12-11,South,Furniture,Bookcases,Wood Bookcase,1636.74,3,144.95
2024-03-24,South,Furniture,Bookcases,Wood Bookcase,381.56,1,83.6
2024-04-04,West,Office Supplies,Storage,Desk Organizer,1959.72,4,249.6
2024-03-27,West,Technology,Accessories,Keyboard,5576.88,8,1363.72
2023-05-22,East,Technology,Phones,Wireless Phone,329.6,5,56.08
2023-10-19,South,Furniture,Chairs,Office Chair,1383.08,2,163.48
2024-04-06,West,Office Supplies,Paper,Printer Paper,5032.92,6,773.68
2024-01-31,North,Furniture,Tables,Desk Table,699.84,2,39.92
2023-05-30,West,Furniture,Bookcases,Metal Bookcase,161.13,3,45.01
2024-04-04,South,Furniture,Chairs,Gaming Chair,817.15,1,44.74
2023-04-24,South,Technology,Copiers,Mini Copier,1145.6,5,92.18
2023-03-06,North,Office Supplies,Storage,Desk Organizer,1512.58,2,264.64
2023-05-28,South,Furniture,Bookcases,Wood Bookcase,1988.65,5,405.09
2023-03-29,North,Furniture,Tables,Desk Table,477.36,6,86.65
2024-02-01,North,Office Supplies,Binders,3-Ring Binder,1459.26,6,78.89
2023-12-07,South,Office Supplies,Paper,Printer Paper,177.06,3,33.02
2023-07-06,West,Furniture,Tables,Conference Table,226.59,3,55.3
2023-02-14,East,Technology,Accessories,USB Cable,3198.0,4,412.22
2023-09-17,East,Furniture,Tables,Conference Table,682.9,1,66.77
2023-10-07,West,Technology,Copiers,Mini Copier,1446.84,2,230.39
2023-12-14,East,Furniture,Tables,Conference Table,1369.98,3,238.9
2023-03-22,East,Technology,Copiers,Mini Copier,3851.12,7,984.29
2023-12-02,West,Office Supplies,Paper,Printer Paper,1448.6,5,290.67
2023-12-26,East,Technology,Copiers,Mini Copier,458.16,8,122.56
2023-02-28,South,Furniture,Tables,Conference Table,1221.28,2,185.09
2024-03-24,East,Technology,Phones,Wireless Phone,131.08,1,14.29
2023-06-07,North,Office Supplies,Binders,3-Ring Binder,6839.68,8,978.1
2024-02-12,North,Furniture,Chairs,Gaming Chair,3549.66,6,398.99
2024-05-26,East,Technology,Copiers,Office Copier,5767.44,7,458.17
2023-10-20,North,Furniture,Tables,Desk Table,1569.28,8,131.71
2023-03-31,East,Office Supplies,Paper,Notebook Paper,3646.2,6,829.09
2024-01-06,South,Office Supplies,Paper,Printer Paper,507.2,4,50.84
2024-01-05,South,Technology,Accessories,USB Cable,2587.92,6,765.39
2023-11-13,West,Furniture,Chairs,Office Chair,6297.48,7,1446.64
2023-05-09,East,Office Supplies,Storage,Storage Box,3511.56,6,570.61
2023-05-13,North,Technology,Copiers,Office Copier,3237.64,7,864.62
2023-06-18,East,Furniture,Chairs,Gaming Chair,911.82,3,207.29
2023-09-14,South,Furniture,Tables,Desk Table,2315.4,4,434.62
2024-05-29,South,Furniture,Tables,Desk Table,1622.37,3,316.62
2023-02-12,East,Furniture,Bookcases,Metal Bookcase,91.48,1,26.27
2023-02-01,East,Furniture,Chairs,Gaming Chair,6418.56,8,1196.38
2023-11-01,West,Office Supplies,Paper,Notebook Paper,673.76,8,43.78
2023-07-28,East,Office Supplies,Binders,Plastic Binder,3323.16,6,425.85
2023-05-14,South,Furniture,Tables,Conference Table,2839.08,6,217.32
2024-04-05,West,Office Supplies,Paper,Notebook Paper,575.88,4,36.08
2023-06-13,South,Furniture,Tables,Desk Table,5050.2,6,1162.97
2024-04-23,North,Technology,Accessories,Keyboard,6348.72,8,1106.85
2023-09-04,East,Office Supplies,Storage,Desk Organizer,2133.36,4,132.62
2023-10-20,East,Office Supplies,Storage,Desk Organizer,765.51,1,120.75
2024-01-10,South,Furniture,Tables,Conference Table,372.51,1,71.73
2023-03-17,East,Office Supplies,Storage,Desk Organizer,3246.18,7,782.66
2023-05-12,East,Furniture,Bookcases,Wood Bookcase,733.28,2,182.38
2023-07-23,South,Furniture,Tables,Desk Table,3220.49,7,197.5
2024-06-15,South,Furniture,Tables,Conference Table,1208.56,8,330.28
2023-06-16,East,Office Supplies,Storage,Desk Organizer,6242.18,7,1465.85
2023-11-03,North,Furniture,Tables,Conference Table,5902.88,8,838.74
2023-01-28,South,Office Supplies,Storage,Desk Organizer,2029.36,8,434.08
2023-06-24,North,Furniture,Chairs,Gaming Chair,1050.28,7,231.25
2023-07-15,West,Furniture,Bookcases,Wood Bookcase,408.11,1,63.13
2024-05-28,North,Furniture,Chairs,Gaming Chair,6304.64,8,1475.03
2023-11-29,South,Furniture,Chairs,Office Chair,3859.36,8,495.69
2023-12-29,South,Office Supplies,Storage,Desk Organizer,2784.35,5,273.05
2023-08-19,West,Office Supplies,Storage,Desk Organizer,3493.15,5,790.24
2023-10-08,West,Office Supplies,Binders,Plastic Binder,636.25,5,139.44
2023-10-25,East,Office Supplies,Binders,3-Ring Binder,273.11,1,62.42
2024-05-05,East,Office Supplies,Storage,Desk Organizer,791.28,4,146.11
2023-09-03,South,Technology,Phones,Wireless Phone,258.68,4,71.47
2023-04-13,South,Furniture,Chairs,Office Chair,2174.62,7,365.56
2024-02-21,East,Technology,Copiers,Office Copier,3521.2,8,351.64
2023-04-02,North,Office Supplies,Binders,3-Ring Binder,1963.72,4,453.19
2023-02-07,East,Technology,Accessories,USB Cable,4993.87,7,482.3
2023-04-20,West,Technology,Phones,Android Phone,1622.46,6,482.32
2023-10-07,West,Technology,Copiers,Mini Copier,2927.04,4,388.33
2023-01-15,South,Furniture,Tables,Desk Table,4295.28,6,824.46
2024-03-13,South,Technology,Copiers,Mini Copier,577.98,6,125.6
2023-09-12,East,Technology,Accessories,Mouse,249.49,1,27.16
2023-09-25,North,Office Supplies,Binders,3-Ring Binder,3777.84,6,247.57
2024-02-20,East,Office Supplies,Binders,3-Ring Binder,3137.3,5,657.82
2023-08-13,East,Office Supplies,Storage,Storage Box,1322.4,3,216.54
2023-08-12,North,Office Supplies,Storage,Desk Organizer,2474.8,4,492.37
2023-03-21,South,Furniture,Tables,Conference Table,148.7,2,27.79
2023-06-18,South,Furniture,Bookcases,Wood Bookcase,4631.7,6,743.2
2023-04-04,West,Furniture,Bookcases,Metal Bookcase,5853.2,8,956.17
2024-04-18,North,Office Supplies,Storage,Storage Box,3282.45,5,489.04
2023-02-16,North,Furniture,Chairs,Office Chair,2262.33,7,149.18
2023-10-21,West,Technology,Accessories,USB Cable,1248.66,7,104.71
2024-01-22,South,Office Supplies,Binders,Plastic Binder,634.34,7,184.62
2023-07-02,South,Furniture,Tables,Desk Table,3397.66,7,788.14
2024-04-19,South,Technology,Phones,Android Phone,3416.7,7,874.13
2023-10-10,North,Office Supplies,Binders,3-Ring Binder,3379.68,4,781.57
2023-01-17,North,Technology,Copiers,Mini Copier,805.4,4,60.59
2023-09-08,South,Office Supplies,Storage,Storage Box,373.99,1,40.61
2023-10-24,East,Technology,Phones,Wireless Phone,2951.56,4,687.36
2023-08-31,South,Furniture,Bookcases,Metal Bookcase,3955.55,5,1172.52
2023-03-04,West,Office Supplies,Binders,Plastic Binder,1712.61,3,268.54
2024-01-26,East,Technology,Accessories,Keyboard,3796.5,6,577.31
2023-09-04,West,Office Supplies,Paper,Notebook Paper,1138.6,4,258.34
2024-03-02,East,Technology,Copiers,Mini Copier,1085.43,3,123.47
2024-01-15,North,Furniture,Chairs,Gaming Chair,982.72,2,252.9
2023-03-16,South,Office Supplies,Binders,3-Ring Binder,2912.36,4,573.43
2023-11-07,North,Office Supplies,Paper,Notebook Paper,206.39,1,20.12
2023-07-29,East,Furniture,Tables,Desk Table,5777.17,7,1086.22
2023-11-12,West,Office Supplies,Binders,Plastic Binder,1682.45,5,455.44
2023-11-24,South,Technology,Copiers,Mini Copier,1384.88,4,212.55
2023-09-25,South,Furniture,Chairs,Office Chair,1958.39,7,193.97
2024-05-26,West,Office Supplies,Storage,Storage Box,1478.7,6,377.66
2023-06-23,North,Office Supplies,Paper,Notebook Paper,1961.64,3,337.56
2023-02-19,South,Furniture,Chairs,Office Chair,382.91,1,99.8
2023-01-10,West,Technology,Copiers,Office Copier,1860.16,4,266.56
2023-01-07,East,Furniture,Tables,Desk Table,213.01,7,38.84
2024-05-29,North,Furniture,Tables,Desk Table,5106.01,7,1416.63
2023-09-04,East,Technology,Copiers,Office Copier,2261.64,4,255.8
2024-01-18,South,Office Supplies,Binders,3-Ring Binder,2967.44,7,328.8
2023-02-02,West,Office Supplies,Storage,Storage Box,753.28,2,108.69
2023-06-25,East,Technology,Copiers,Office Copier,919.76,2,145.76
2023-08-24,West,Furniture,Chairs,Office Chair,3252.48,4,725.54
2023-10-15,North,Office Supplies,Paper,Printer Paper,177.83,1,46.7
2024-02-12,West,Technology,Copiers,Office Copier,566.72,2,108.24
